#{"t_start": 1726658885.852586, "env_id": "None"}
r,l,t
-562.371143,201,11.006006
-84.497593,201,22.072673
-100.168694,201,33.043654
-212.574131,201,44.111673
-722.632967,201,55.084803
-231.238115,201,66.165658
-97.440658,201,77.14064
-594.010965,201,88.182722
-518.431652,201,99.247192
-1740.858623,201,110.205266
-612.399119,201,121.288982
50.756268,201,132.249759
-487.649601,201,143.347091
-80.210384,201,154.308068
-1743.405186,201,165.365011
-241.389557,201,176.421586
-326.825294,201,187.438686
-1144.292615,201,198.508545
-195.87782,201,209.486718
-669.867952,201,220.533569
-467.393624,201,231.507637
-115.086873,201,242.553212
-192.479871,201,253.593242
-398.921397,201,264.558174
46.849001,201,275.614913
-100.330944,201,286.575363
-440.850833,201,297.630224
-214.688454,201,308.576304
-261.249729,201,319.643855
-276.275841,201,330.701397
-1820.595549,201,341.680304
-337.016698,201,352.728121
-467.793468,201,363.713506
-303.870449,201,374.808081
-519.030677,201,385.766036
-212.023312,201,396.807157
42.148503,201,407.832844
-19.7337,201,418.794956
-228.764611,201,429.857426
-293.104444,201,440.810746
-292.573641,201,451.853172
-283.106637,201,462.803874
-88.339826,201,473.881305
-372.25185,201,484.931715
-215.09694,201,495.922078
-260.35325,201,506.964722
-896.171538,201,517.920733
-318.887809,201,528.963444
-907.246264,201,539.967552
-111.092811,201,551.038746
-560.37219,201,562.109414
-1793.216015,201,573.118169
-1806.990553,201,584.197574
-415.70904,201,595.177415
-577.631136,201,606.261031
-736.38988,201,617.251773
-303.548647,201,628.331279
-1814.60818,201,639.366247
-749.57551,201,650.335953
-178.56994,201,661.3844
-754.704942,201,672.342082
-442.031656,201,683.389514
-694.932806,201,694.397038
-726.630607,201,705.478133
-1822.248071,201,716.560673
-1783.911008,201,727.516715
53.25194,201,738.561016
50.636596,201,749.539624
-1822.790684,201,760.607988
-660.86352,201,771.591424
-411.485365,201,782.671058
-1206.072325,201,793.716753
-574.038893,201,804.671801
-575.145247,201,815.739517
-872.558906,201,826.720128
-428.814295,201,837.775864
-1826.848892,201,848.754612
-522.384652,201,859.839409
-472.640573,201,870.899231
-1829.801782,201,881.867599
-912.283171,201,892.926833
-1818.518801,201,903.897242
-571.30339,201,914.93041
-1824.614825,201,925.900051
47.580868,201,936.971042
-566.905872,201,948.043724
-913.570465,201,959.00054
-734.199538,201,970.083353
-603.111889,201,981.046261
-745.163975,201,992.114843
-469.498018,201,1003.072349
-605.110796,201,1014.151878
-1773.597481,201,1025.228976
-772.425529,201,1036.195513
-1818.953134,201,1047.273624
-593.463604,201,1058.249925
39.153239,201,1069.307038
-789.729883,201,1080.260071
-1196.444022,201,1091.372187
-1674.187893,201,1102.444668
-420.744018,201,1114.817514
-886.78784,201,1125.883677
-1248.724714,201,1136.880196
-956.664266,201,1147.950884
-1832.043872,201,1158.913185
-1687.636677,201,1169.955391
-1769.589327,201,1181.005926
-1815.846723,201,1191.97685
-780.677272,201,1203.024998
-1051.466067,201,1214.008749
-934.863687,201,1225.056879
-1641.458481,201,1236.031757
-1103.556741,201,1247.131766
-1840.417594,201,1258.204432
-1825.067947,201,1269.195408
-913.275769,201,1280.24578
-1206.64894,201,1291.180995
-946.598861,201,1302.251114
-1807.372581,201,1313.363432
-1078.391441,201,1324.428787
-1388.84805,201,1335.513769
-788.672224,201,1346.509833
-1681.938497,201,1357.596311
-1282.805863,201,1368.627421
-1079.892654,201,1379.687934
-1814.145112,201,1390.691264
-1585.746907,201,1401.763342
-1279.779707,201,1412.792113
-1681.343828,201,1423.896697
-1831.326599,201,1434.970641
-1487.42295,201,1445.959304
-1233.527283,201,1457.055619
-1839.302008,201,1468.029633
-1820.062449,201,1479.107529
-1853.219937,201,1490.079976
-1778.237648,201,1501.158063
-1822.840013,201,1512.236534
-938.065375,201,1523.23075
-1534.179077,201,1534.292977
-774.014848,201,1545.261369
-1055.582274,201,1556.355253
-1209.253142,201,1567.31768
-1396.003688,201,1578.394646
-1847.194543,201,1589.431556
-1807.964795,201,1600.44774
-1542.513484,201,1611.504492
-706.225388,201,1622.523673
-1757.145871,201,1633.606529
-1777.319596,201,1644.56777
-1822.530539,201,1655.667104
-1821.77557,201,1666.722103
-1792.627164,201,1677.698711
-1410.188433,201,1688.793577
-969.404373,201,1699.746794
-756.996916,201,1710.815382
-612.459668,201,1721.788818
-1796.370242,201,1732.881127
-1819.743083,201,1743.934413
-490.118573,201,1754.900694
-369.289578,201,1765.979695
-1013.826153,201,1776.945849
-356.699505,201,1788.024876
-659.76334,201,1799.010478
29.227445,201,1810.07318
-1742.578855,201,1821.137919
-1854.451824,201,1832.112504
-1511.329305,201,1843.191472
-1257.704788,201,1854.176158
-93.152452,201,1865.244398
-1654.780246,201,1876.200202
-1775.592494,201,1887.229792
-1824.125892,201,1898.269627
-1335.804784,201,1909.243682
-1593.420714,201,1920.287315
-901.768015,201,1931.268923
-1129.437879,201,1942.342797
-1588.651655,201,1953.309211
-1760.946421,201,1964.366509
-801.814125,201,1975.429276
31.508607,201,1986.415339
-1760.147428,201,1997.462791
-868.144376,201,2008.429523
-114.708263,201,2019.471596
-109.534167,201,2030.447547
-1037.832171,201,2041.528699
-653.398218,201,2052.614218
-1767.296337,201,2063.616081
-1788.193375,201,2074.646499
-80.885097,201,2085.612347
-1139.182511,201,2096.670637
-1610.357898,201,2107.638631
-1799.64292,201,2118.740589
-410.507422,201,2129.819304
-987.426466,201,2140.778135
-1704.757066,201,2151.855143
-1789.770511,201,2162.820257
-1036.813694,201,2173.894168
-82.446814,201,2184.877565
-1168.702948,201,2195.929803
-1797.285355,201,2207.017652
-1775.570675,201,2219.436511
-902.846458,201,2230.52625
-722.079338,201,2241.522393
-263.302966,201,2252.588411
-378.580624,201,2263.561992
-1785.062952,201,2274.629183
-392.629233,201,2285.657055
-1771.796224,201,2296.629077
-1770.485001,201,2307.674875
18.486927,201,2318.610519
13.875645,201,2329.656934
-223.38409,201,2340.619716
-1745.995507,201,2351.679331
-1654.179423,201,2362.773669
-1752.471431,201,2373.765298
-104.953628,201,2384.831537
-249.017245,201,2395.797312
-36.23454,201,2406.869691
-99.822981,201,2417.845356
-93.669374,201,2428.928164
-1304.938427,201,2439.98321
-26.277493,201,2450.953857
-289.966547,201,2462.024359
-688.098157,201,2473.006476
-368.109766,201,2484.093771
-237.80663,201,2495.068588
-392.863253,201,2506.114707
19.409282,201,2517.169412
-1792.108774,201,2528.176989
-1769.560477,201,2539.253657
-520.670862,201,2550.21179
-123.659329,201,2561.277772
-99.42405,201,2572.274873
11.288055,201,2583.342649
-220.419176,201,2594.394497
-116.030578,201,2605.371811
-1706.056664,201,2616.444486
-349.672848,201,2627.42166
-1755.843377,201,2638.497559
-82.950448,201,2649.47802
-88.797797,201,2660.536591
-78.829061,201,2671.577832
-355.787349,201,2682.527963
-519.461568,201,2693.571775
-517.392105,201,2704.546318
-1763.228726,201,2715.612708
-864.580074,201,2726.545585
-182.326632,201,2737.626098
